"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 21:52:26 GMT 2022","Mon Jul 04 21:52:27 GMT 2022","376","","PortioTest","","PortioTest","listDataTest","4 Adatok listázása",""
"passed","Mon Jul 04 21:52:54 GMT 2022","Mon Jul 04 21:53:15 GMT 2022","20882","","PortioTest","","PortioTest","paginationTest","5 Több oldalas lista bejárása",""
"passed","Mon Jul 04 21:52:27 GMT 2022","Mon Jul 04 21:52:28 GMT 2022","784","","PortioTest","","PortioTest","saveDataFromPageTest","10 Adatok lementése felületről",""
"passed","Mon Jul 04 21:52:22 GMT 2022","Mon Jul 04 21:52:23 GMT 2022","1235","","PortioTest","","PortioTest","AcceptTerms","3 Adatkezelési nyilatkozat elfogadása",""
"passed","Mon Jul 04 21:52:23 GMT 2022","Mon Jul 04 21:52:25 GMT 2022","1666","","PortioTest","","PortioTest","inputDataTest","6 Űj adat bevitel",""
"passed","Mon Jul 04 21:52:54 GMT 2022","Mon Jul 04 21:52:54 GMT 2022","344","","PortioTest","","PortioTest","deleteDataTest","9 Adatok törlése",""
"passed","Mon Jul 04 21:52:25 GMT 2022","Mon Jul 04 21:52:26 GMT 2022","1395","","PortioTest","","PortioTest","loginTest","2 Bejelentkezés",""
"passed","Mon Jul 04 21:53:15 GMT 2022","Mon Jul 04 21:53:16 GMT 2022","839","","PortioTest","","PortioTest","RegisterNewUser","1 Regisztráció",""
"passed","Mon Jul 04 21:52:53 GMT 2022","Mon Jul 04 21:52:54 GMT 2022","1590","","PortioTest","","PortioTest","alterDataTest","8 Meglévő adat módosítás",""
"passed","Mon Jul 04 21:52:28 GMT 2022","Mon Jul 04 21:52:30 GMT 2022","2501","","PortioTest","","PortioTest","readFile","7 Ismételt és sorozatos adatbevitel - regisztráció file-ban található adatokkal",""
"passed","Mon Jul 04 21:52:30 GMT 2022","Mon Jul 04 21:52:53 GMT 2022","22460","","PortioTest","","PortioTest","logoutTest","11 Kijelentkezés",""
